# US ZIP (ZCTA) -> county, largest-area match — US Census 2020 ZCTA-county relationship file, public domain.
# zip,county,state_fips
04011,Cumberland County,23
04015,Cumberland County,23
04017,Cumberland County,23
04019,Cumberland County,23
04020,York County,23
04021,Cumberland County,23
04022,Oxford County,23
04024,Cumberland County,23
04027,York County,23
04029,Cumberland County,23
04030,York County,23
04032,Cumberland County,23
04037,Oxford County,23
04038,Cumberland County,23
04039,Cumberland County,23
04040,Cumberland County,23
04041,Oxford County,23
04042,York County,23
04043,York County,23
04046,York County,23
04047,York County,23
04048,York County,23
04049,York County,23
04050,Cumberland County,23
04051,Oxford County,23
04055,Cumberland County,23
04056,York County,23
04057,Cumberland County,23
04061,York County,23
04062,Cumberland County,23
04063,York County,23
04064,York County,23
04066,Cumberland County,23
04068,Oxford County,23
04069,Cumberland County,23
04071,Cumberland County,23
04072,York County,23
04073,York County,23
04074,Cumberland County,23
04076,York County,23
04079,Cumberland County,23
04083,York County,23
04084,Cumberland County,23
04085,Cumberland County,23
04086,Sagadahoc County,23
04087,York County,23
04088,Oxford County,23
04090,York County,23
04091,Cumberland County,23
04092,Cumberland County,23
04093,York County,23
04095,York County,23
04096,Cumberland County,23
04097,Cumberland County,23
04101,Cumberland County,23
04102,Cumberland County,23
04103,Cumberland County,23
04105,Cumberland County,23
04106,Cumberland County,23
04107,Cumberland County,23
04108,Cumberland County,23
04109,Cumberland County,23
04110,Cumberland County,23
04210,Androscoggin County,23
04216,Oxford County,23
04217,Oxford County,23
04219,Oxford County,23
04220,Oxford County,23
04221,Oxford County,23
04222,Androscoggin County,23
04224,Oxford County,23
04226,Oxford County,23
04227,Oxford County,23
04231,Oxford County,23
04234,Franklin County,23
04236,Androscoggin County,23
04237,Oxford County,23
04238,Oxford County,23
04239,Franklin County,23
04240,Androscoggin County,23
04250,Androscoggin County,23
04252,Androscoggin County,23
04253,Androscoggin County,23
04254,Androscoggin County,23
04255,Oxford County,23
04256,Androscoggin County,23
04257,Oxford County,23
04258,Androscoggin County,23
04259,Kennebec County,23
04260,Cumberland County,23
04261,Oxford County,23
04263,Androscoggin County,23
04265,Kennebec County,23
04267,Oxford County,23
04268,Oxford County,23
04270,Oxford County,23
04271,Oxford County,23
04274,Androscoggin County,23
04275,Oxford County,23
04276,Oxford County,23
04280,Androscoggin County,23
04281,Oxford County,23
04282,Androscoggin County,23
04284,Kennebec County,23
04285,Franklin County,23
04286,Oxford County,23
04287,Sagadahoc County,23
04289,Oxford County,23
04290,Oxford County,23
04292,Oxford County,23
04294,Franklin County,23
04330,Kennebec County,23
04341,Lincoln County,23
04342,Lincoln County,23
04344,Kennebec County,23
04345,Kennebec County,23
04346,Kennebec County,23
04347,Kennebec County,23
04348,Lincoln County,23
04349,Kennebec County,23
04350,Kennebec County,23
04351,Kennebec County,23
04352,Kennebec County,23
04353,Lincoln County,23
04354,Waldo County,23
04355,Kennebec County,23
04357,Sagadahoc County,23
04358,Kennebec County,23
04359,Kennebec County,23
04360,Kennebec County,23
04363,Kennebec County,23
04364,Kennebec County,23
04401,Penobscot County,23
04406,Piscataquis County,23
04408,Hancock County,23
04410,Penobscot County,23
04411,Penobscot County,23
04412,Penobscot County,23
04413,Washington County,23
